"","catering  |  conference  |  hospitality","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","DAILY ALLERGEN INFORMATION","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","USC Food + Drinks","Student Price","Staff Price","[$F8],  4, 2405","Vegetarian","Vegan","Celery","Cereals containing Gluten","Crustaceans","Eggs","Fish","Lupin","Fish","Lupins","Milk","Molluscs","Mustard","Nuts","Peanuts","Sesame Seed","Soya","Sulphates",""
"","","","","","","","This Inc. Celery stalks, leaves and seeds and celeriac. It is often found in celery salt, salads some meat products, soups and stock cubes","This includes wheat (such as spelt and Khorasan wheat/kumquat, rye, barley and oats. It is often found in foods containing floor such as some baking powders, batter, breadcrumbs, bread, cakes, couscous, meat products, pastry, pasta, sauces, soups and foods dusted with flour. The cereal will need to be declared. However it is up to you if you want to declare the presence of gluten with this","This includes crabs, lobster, prawns and scampi. It is often found in shrimp paste used in Thai curries and salads","This is often found in cakes, some meat products, mayonnaise, mousses, pasta, quiche, sauces and foods brushed or glazed with egg","This often found in some fish sauces, pizzas, relishes, salad dressings, stock cubes, and in Worcestershire sauce","This includes lupin seeds and flour, and can be found in some types of bread, pastries and pasta","This often found in some fish sauces, pizzas, relishes, salad dressings, stock cubes, and in Worcestershire sauce","This includes lupin seeds and flour, and can be found in some types of bread, pastries and pasta","This is found in butter, cheese, cream, milk powders and yoghurt. It is often used in foods glazed with milk, powdered soups and sauces","This includes mussels, land snails, squid and whelks. It is often found in oyster sauce or as an ingredient in fish stews","This includes liquid mustard, mustard powder and mustard seeds.  It is often found in breads curries marinades, meat products, salad dressing sauces and soups","This includes almonds, hazelnuts, walnuts, cashews, pecan nuts, Brazil  nuts, pistachio nuts, macadamia nuts or Queensland nuts. These can be found in breads, biscuits, crackers, desserts, ice cream, marzipan (almond paste) nut oils and sauces. Ground crushed or flaked almonds are often used in Asian dishes such as curries or stir fries.","This can be found in biscuits, cakes, curries, desserts and sauces such as satay. It can also be found in groundnut oil and peanut flour","This can be found in bread, bread sticks, houmous, sesame oil and tahini (sesame paste)","This can be found in bean curd, edamame beans, miso paste, textured soya protein, soya flour or tofu.. It is often used in some desserts, ice cream, meat products sauces and vegetarian products","This is often used as a preservative in dried fruit, meat products, soft drinks and vegetables as well as wine and beer.",""
"","PIAZZA","","","","","","","","","","","","","","","","","","","","","",""
"","Soup","£2.25","£2.70","Spicy Tomato Soup","YES","YES","YES","","","","","","","","","","","","","","","",""
"","Street Food","£5.00","£6.00","Sweet and Sour Tofu","YES","","","","","","","","","","YES","","","YES","","","","YES",""
"","Street Food","£5.00","£6.00","Thai Green Curry","","","","","YES","","","","","","YES","","","YES","","","YES","",""
"","Street Food","£5.00","£6.00","Spring Rolls with Sweet Chilli Sauce","YES","","","YES","","YES","","","","","YES","","","","","","YES","",""
"","Street Food","","","Rice
(accompaniment to Street Food)","YES","YES","","","","","","","","","","","","","","","","",""
"","Street Food","","","Shrimp Crackers
(accompaniments to Street Food)","","","","","YES","","","","","","","","","","","","","",""
"","Joe's","£3.00","£3.00","Piri Piri Chicken Skewer","","","","","","","","","","","","","","","","","","",""
"","Joe's","£3.00","£3.00","Fajita Chicken Thigh","","","","","","","","","","","","","","","","","","",""
"","Joe's","","","Flat Bread","YES","","","YES","","","","","","","YES","","","","","","YES","",""
"","Joe's","","","Floured Tortilla Wrap","YES","","","YES","","","","","","","","","","","","","","",""
"","Fish Bar","£3.25","£3.90","Battered Cod","","","","YES","","","","","YES","","YES","","YES","","","","YES","YES",""
"","Fish Bar","£2.00","£2.40","Jumbo Battered Sausage","","","","YES","","","","","","","YES","","YES","","","","YES","",""
"","Fish Bar","£2.75","£3.30","Salmon and Dill Fish Cake","","","","","","YES","","","YES","","YES","","","","","","","",""
"","Fish Bar","80p","£1.00","Curry Sauce","","","","YES","","YES","","","","","YES","","YES","","","","YES","",""
"","Fish Bar","80p","£1.00","Pea Fritter","","","","YES","","","","","","","YES","","YES","","","","YES","YES",""
"","Burger with Bap","£2.50","£2.80","Chicken Burger","","","YES","YES","","YES","","","","","","","YES","","","YES","","",""
"","Burger with Bap","£2.50","£2.80","Beef Burger","","","","YES","","YES","","","","","","","","","","YES","YES","",""
"","Potato","£1.00","£1.20","Vita Potatoes","YES","YES","","","","","","","","","","","","","","","","",""
"","Potato","£1.25","£1.50","Chips - with meal","YES","","YES","","","","","","","","","","","","","","","YES",""
"","Potato","£1.25","£1.50","Curly Fries - with meal","YES","","YES","YES","","","","","","","","","","","","","","YES",""
"","Potato","£1.50","£1.80","Bowl of Chips","YES","","YES","","","","","","","","","","","","","","","YES",""
"","Potato","£1.50","£1.80","Bowl of Curly Fries","YES","","YES","YES","","","","","","","","","","","","","","YES",""
"","Vegetables","80p","£1.00","Peas","YES","YES","","","","","","","","","","","","","","","","",""
"","Vegetables","80p","£1.00","Carrots","YES","YES","","","","","","","","","","","","","","","","YES",""
"","Pizza","","","See Separate Allergen Sheet","","","","","","","","","","","","","","","","","","",""
"","Daily Pasta","£2.75","£3.30","","","","","","","","","","","","","","","","","","","",""
"","Jacket of the Day - Hot","£3.25","£3.90","Chilli","","","YES","YES","","","","","","","","","YES","YES","","","","YES",""
"","Jacket of the Day - Hot","£3.25","£3.90","Baked Beans","YES","","YES","","","","","","","","","","","","","","","YES",""
"","Jacket of the Day - Cold","£3.25","£3.90","Tuna Mayonnaise","","","YES","","","YES","YES","","YES","","","","","","","","","",""
"","Jacket of the Day - Cold","£3.25","£3.90","Grated Mature Cheddar","YES","","","","","","","","","","YES","","","","","","","",""
"","Whilst every effort has been made to ensure that the allergen information is correct and that accidental cross contamination does not occur, the University of Southampton cannot guarantee that food prepared on our premises or by our selected suppliers is done so in an entirely allergen-free environment.","","","","","","","","","","","","","","","","","","","","","",""
"","TERRACE","","","TIME  -  12:00pm - 2:00pm","","","","","","","","","","","","","","","","","","",""
"","Soup","£2.20","£2.70","","","","","","","","","","£1.95","£2.30","","","","","","","","",""
"","Main Meal","£2.75","£3.30","","","","","","","","£2.75","£3.30","","","","","","","","","","",""
"","Main Meal","£2.75","£3.30","","","","","","","","£2.75","£3.30","","","","","","","","","","",""
"","Main Meal","£2.75","£3.30","","","","","","","","£2.75","£3.30","","","","","","","","","","",""
"","Main Meal","£2.75","£3.30","","","","","","","","£2.75","£3.30","","","","","","","","","","",""
"","Madhuban Curry","","","","","","","","","","£5.00","£6.00","","","","","","","","","","",""
"","Madhuban Curry","","","","","","","","","","£5.00","£6.00","","","","","","","","","","",""
"","Chips","£1.50","£1.80","","","","","","","","","","","","","","","","","","","",""
"","Potato","£1.50","£1.80","","","","","","","","£1.10","£1.25","","","","","","","","","","",""
"","Vegetables","80p","£1.00","","","","","","","","","","","","","","","","","","","",""
"","Vegetables","80p","£1.00","","","","","","","","80p","£1.00","","","","","","","","","","",""
"","Pasta","£1.50","£1.80","","","","","","","","","","","","","","","","","","","",""
"","Rice","£1.50","£1.80","","","","","","","","£1.10","£1.25","","","","","","","","","","",""
"","Hot Dessert","£1.65","£2.00","","","","","","","","£1.65","£2.00","","","","","","","","","","",""
"","Cold Dessert","£1.65","£2.00","","","","","","","","","","","","","","","","","","","",""
"","Cold Dessert","£1.65","£2.00","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","ARLOTT LATTES ","","","TIME  -  12:00pm - 2:00pm","","","","","","","","","","","","","","","","","","",""
"","Soup","£3.00","£3.60","","","","","","","","","","","","","","","","","","","",""
"","Main Meal - with Rice","£5.00","£6.00","","","","","","","","","","","","","","","","","","","",""
"","Main Meal","£3.50","£4.20","","","","","","","","","","","","","","","","","","","",""
"","Main Meal","£3.50","£4.20","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
